fire_id,fire_name,year,alarm_date,cont_date,duration_days,gis_acres,cause,lon_centroid,lat_centroid,lag_days,elev_mean,elev_std,slope_mean,nlcd_open_water,nlcd_dev_open,nlcd_dev_low,nlcd_dev_med,nlcd_dev_high,nlcd_barren,nlcd_forest_decid,nlcd_forest_ever,nlcd_forest_mixed,nlcd_shrub,nlcd_grassland,nlcd_pasture,nlcd_crops,nlcd_wetland_woody,nlcd_wetland_herb
OLIVE_WEST_2024_00045,OLIVE WEST,2024,7/3/24,7/5/24,2,1357.199219,14,-119.9077236,35.59711070801502,365,249.41473096040176,20.58533575000178,0.45010492597068963,0,0,0,0,0,0.004362645,0,0.000579414,0,0.9948875255623721,0,0,0,0.000170416,0
AIRLINE_2024_00046,AIRLINE,2024,7/2/24,7/5/24,3,1295.254150390625,14,-121.2289761,36.66984441100385,365,390.48623491024676,110.81552753130893,7.553175403107494,0,0,0,0,0,0.000391594,0,0,0,0.9680851063829787,0,0.019122829917765306,0,0.0020885,0.01031197
RIM_3_6_2024_00047,RIM 3-6,2024,7/13/24,7/23/24,10,1262.4969482421875,1,-121.1377628,40.89799580355232,365,1392.6232089764894,75.56560774,3.0961975896866023,0,0.001531256,0.012430192758061611,0,0,0,0,0,0,0.6387137452711223,0.3473248063411998,0,0,0,0
POINT_2024_00048,POINT,2024,6/16/24,6/17/24,1,1207.010498046875,9,-122.9815909,38.69386421052816,365,165.62030814091926,85.14578348,8.462197133,0,0.000216263,0.000162197,0,0,0.1051038062283737,0.001297578,0.5850454152249135,0,0.30801254325259514,0.000162197,0,0,0,0
HESPERIA_2024_00049,HESPERIA,2024,6/16/24,6/19/24,3,1130.458984,7,-117.277894,34.33203016628396,365,1009.0987784097749,75.56474125040862,4.569026501120303,0,0,0.000105691,5.2845743275379165e-05,0,0,0,0,0,0.9997886170268985,5.2845743275379165e-05,0,0,0,0
ROAD_2024_00050,ROAD,2024,6/5/24,6/5/24,1,1074.765137,14,-119.4960919,35.09811902878267,365,630.3624357701167,96.09891106771778,7.631860860285557,0,0,0.000639727,0.000319864,0,0.036357821,0,0,0,0.9626825887621282,0,0,0,0,0
JUNES_2024_00051,JUNES,2024,6/15/24,6/18/24,3,1060.4830322265625,14,-121.5043103,39.35756244,365,51.56132419524066,15.022158250603358,0.96077884,0,0,0.002845528,0.00398374,0,0.5679674796747968,0,0,0,0.4164227642276423,0.008699187,0,0,0,8.130081300813008e-05
METZ_2024_00052,METZ,2024,7/23/24,7/24/24,1,1054.9639892578125,2,-121.1794811,36.33009523342604,365,127.64631333526033,56.59035339829479,3.979141707973581,0,0.00212585,0.032568027,0.014115646258503402,0,0,0,0,0,0.7710884353741496,0,0.006547619,0.011309524,0.11479591836734694,0.047448979591836735
DOVE_2024_00053,DOVE,2024,10/19/24,10/26/24,7,954.2029418945312,9,-118.1334207,35.45583047685759,365,1497.7978815098718,128.40981767374845,4.402508350330029,0.00020202,0.11474747474747475,0.17,0.272020202,0.005353535,0.012626262626262626,0,0,0,0.42474747474747476,0.00030303,0,0,0,0
CLEAR_2024_00054,CLEAR,2024,6/26/24,6/29/24,3,909.1449584960938,14,-121.2264645,41.88469205894838,365,,,,0,0,0,0,0,0.010833248962235496,0,0,0,0.8784043737977119,0.11076237724005265,0,0,0,0
FRENCH_2024_00055,FRENCH,2024,7/4/24,7/13/24,9,908.0415039,2,-119.9704621,37.50161593766583,365,728.903022,79.19665051080536,7.209817208414888,0,0,0.010823077594483721,0.007244479,0,0.052980710482674345,0,0,0,0.928951733,0,0,0,0,0
