fire_id,fire_size,ignition_date,containment_date,duration_days,latitude,longitude,ignition_year,ignition_month,hot_days_6mo,avg_fm100_6mo,avg_fm1000_6mo,days_fm100_below_10,avg_max_temp_6mo,avg_min_temp_6mo,hottest_day_6mo,coldest_day_6mo,avg_daily_temp_range,mean_elevation,elevation_variability,mean_slope,open_water,barren,forest_decid,forest_ever,forest_mixed,shrub,grassland,pasture,crops,wetland,wetland_herb,forest_fraction,shrub_fraction,grass_fraction,agriculture_fraction,nonburnable_fraction,dominant_veg,avg_vpd_6mo,avg_wind_6mo,extreme_fire_days,avg_precip_6mo,rainy_days_6mo,avg_humidity_6mo
1_7_2020_01631,174.78903198242188,2019-08-18 00:00:00,2020-09-26 00:00:00,405,40.02588745849627,-121.57892348920328,2019,8,,9.727592626666672,12.444629536111117,112.0,20.894537444444474,9.458519722222247,34.950000000000045,-3.916659999999979,11.436017722222216,1235.5859906423489,89.59929907438708,12.057829019617255,0.0,0.0,0.0,0.0,0.0,0.9986531986531988,0.0013468013468013,0.0,0.0,0.0,0.0,0.0,0.9986531986531988,0.0013468013468013,0.0,0.0,shrub_fraction,1.3157777831388893,3.337500007222222,0.0,2.1885185235277773,42.0,55.33175902777774
1_8_2020_01665,92.3950653076172,2019-08-18 00:00:00,2020-09-10 00:00:00,389,39.99695779925237,-121.56022861463158,2019,8,,9.572407428333339,12.309351844999997,116.0,20.40194622222225,9.94000133333336,34.33334000000002,-3.633299999999963,10.46194488888889,1299.255771126163,43.00245669040864,9.615789912249465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.3057222302055551,3.4405555711111098,0.0,2.199629629555556,41.0,53.13824071111109
200FIRE_2003_07093,72.29999542236328,2002-08-26 00:00:00,2003-08-26 00:00:00,365,37.14943030080724,-119.6121331802668,2002,8,52.0,11.26271606166667,13.28802459888889,84.0,27.847097222222263,11.240244500000024,42.26113000000004,-0.9277999999999906,16.606852722222218,675.9007734326893,41.74121367609805,8.843582995559695,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.7248086292222218,2.5328395061111117,0.0,1.1626543124166666,38.0,75.0784564722222
20_2008_05550,47.9138069152832,2007-06-19 00:00:00,2008-06-19 00:00:00,366,39.02896964327609,-122.34421956328175,2007,6,8.0,12.84413589388889,15.465061744444446,61.0,19.767221777777802,5.48005955555558,39.52780000000001,-2.1388999999999783,14.287162222222221,444.95260090940326,35.17988974559937,5.52099985143158,0.0875,0.0,0.0,0.0,0.0,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.9125,0.0,0.0,0.0875,shrub_fraction,1.039395065505555,3.477777786666665,0.0,1.813148209666667,40.0,75.16450585555557
210TH_2020_01882,7.067647457122803,2019-07-06 00:00:00,2020-07-05 00:00:00,365,34.76034600410542,-118.49904066841,2019,7,5.0,10.30166671555556,12.225972191111108,106.0,20.78194388888891,7.793333333333352,37.60000000000002,-6.849999999999966,12.988610555555557,884.7341379290842,1.4535518764616826,0.6411393882697801,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.213305553055555,4.143888901111112,0.0,0.9931944415,26.0,67.26097214999999
210_2004_06777,56.486289978027344,2003-05-01 00:00:00,2004-04-30 00:00:00,365,37.071126322822224,-119.6655855005319,2003,5,2.0,14.7113888038889,16.38962964166667,20.0,18.402314722222254,4.7327780000000255,36.05000000000001,-3.833319999999958,13.669536722222228,325.1971106247675,26.394875205982597,5.063359331690393,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,0.8100277763333337,2.6573147852222223,0.0,1.690740758861111,51.0,81.38398153888888
22ND_2019_02115,72.06942749023438,2018-06-08 00:00:00,2019-06-08 00:00:00,365,39.154995788528154,-121.56435890340704,2018,6,2.0,17.846913505555555,20.942222177777776,0.0,18.867715611111137,7.913952888888915,36.89446000000004,-0.9722399999999993,10.953762722222224,20.825474685277698,2.5637169263083655,1.0276363107047657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,forest_fraction,0.5985370356905553,3.081111104666668,0.0,3.879320917333335,64.0,90.6067280722222
241_INCIDENT_2007_05730,1618.0792236328125,2006-03-11 00:00:00,2007-03-13 00:00:00,367,33.82734793970347,-117.74652202666763,2006,3,,10.261388927777778,10.542037104999999,85.0,22.77069405555559,9.861714388888922,33.21667000000002,-0.2666699999999764,12.90897966666666,274.32455075395876,76.78706571334017,6.624512381519823,0.0,0.0,0.0,0.0,0.0,0.9997165532879818,0.0,0.0,0.0,0.0,0.0,0.0,0.9997165532879818,0.0,0.0,0.0,shrub_fraction,1.2655185163888887,2.685601848333335,0.0,0.3572685202777777,30.0,66.3398143055556
25TH_2008_05465,168.36756896972656,2007-06-22 00:00:00,2008-06-26 00:00:00,370,39.52937602085516,-121.00188957838633,2007,6,,13.863827089444444,18.24172833055555,55.0,15.045557333333358,2.0991992777778004,32.43890000000005,-7.694429999999954,12.946358055555551,1026.8907679220422,144.57458525743138,11.719534393922055,0.0,0.0,0.0,0.0,0.0,0.9991980753809142,0.0,0.0,0.0,0.0,0.0,0.0,0.9991980753809142,0.0,0.0,0.0,shrub_fraction,0.7409938281055555,3.8911728488888873,0.0,4.410679053194443,62.0,73.51851885555557
261_INCIDENT_2007_05837,89.76793670654297,2006-07-27 00:00:00,2007-07-28 00:00:00,366,33.769950994412675,-117.75383070443372,2006,7,,11.06601850722222,11.156759172222218,42.0,24.470092055555583,11.88250216666669,34.21667000000002,4.600030000000004,12.587589888888884,268.49309923842145,59.753497167941084,8.632817780825082,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.196574069111111,2.9743518777777753,0.0,0.2947222193333333,20.0,77.78018460555556
