date,days_to_ignition,phase,bi,erc,fm100,fm1000,tmmx,tmmn,rmax,rmin,pr,vpd,vs
2020-11-29,-227,pre_fire,34.869713,43.14857,12.9534855,14.568114,282.8223,269.54602,68.740456,25.441828,0.0,0.5161714,2.9818287
2020-11-30,-226,pre_fire,36.03657,43.945145,12.467428,14.593942,284.412,269.23666,69.34743,23.371544,0.0,0.58428574,3.1449142
2020-12-01,-225,pre_fire,44.009144,43.09714,12.803542,14.448,282.1913,269.27896,76.856,31.501486,0.0,0.46011427,4.8705144
2020-12-02,-224,pre_fire,42.998856,45.064,12.427201,14.082056,282.78275,269.8728,69.36355,28.120686,0.0,0.51866287,4.390629
2020-12-03,-223,pre_fire,34.51314,46.347427,11.788916,13.990629,283.21408,269.44412,64.361374,23.975885,0.0,0.55648,2.5192
2020-12-04,-222,pre_fire,38.685715,48.14743,11.286172,13.7344,283.99393,269.92456,63.69006,23.285715,0.0,0.5929372,3.008
2020-12-05,-221,pre_fire,38.58057,47.822857,11.398971,13.6828575,283.6072,269.26263,70.594284,25.728117,0.0,0.5389486,3.0962286
2020-12-06,-220,pre_fire,35.970287,44.31543,11.796115,13.686857,281.9662,270.5047,73.5688,34.256916,0.28342858,0.4349714,3.8248003
2020-12-07,-219,pre_fire,48.36,46.230858,12.231086,13.783428,283.6801,268.85336,76.83737,27.292915,0.0,0.51552004,5.1043425
2020-12-08,-218,pre_fire,43.424,48.225143,11.9190855,13.581715,285.36227,269.94833,66.466286,22.28537,0.0,0.65929145,3.8397713
2020-12-09,-217,pre_fire,38.00686,45.176,13.116799,13.507085,283.52536,268.3462,84.96983,32.01863,0.0,0.4514057,3.2538283
2020-12-10,-216,pre_fire,38.672,44.424,13.732685,13.648,281.92593,267.55887,84.0384,31.729027,0.0,0.41242287,3.4899428
2020-12-11,-215,pre_fire,1.272,28.921143,15.272227,14.153601,277.75635,267.74365,78.79429,40.19611,4.6642284,0.29194283,4.293943
2020-12-12,-214,pre_fire,8.651428,26.802286,16.999886,14.603087,276.75873,269.0742,94.63463,60.50309,1.3684572,0.15379429,3.795314
2020-12-13,-213,pre_fire,0.0,18.549715,20.069828,15.893372,275.8248,270.04993,90.72834,67.38549,15.976686,0.12628572,4.7994285
2020-12-14,-212,pre_fire,24.994286,27.6,19.655884,16.203201,275.95108,267.8664,92.18457,57.432682,0.0,0.16512,2.9933717
2020-12-15,-211,pre_fire,13.745143,24.312,18.950857,16.38297,276.8208,269.0705,86.22298,53.680573,0.7928,0.21211427,2.4704
2020-12-16,-210,pre_fire,0.0,15.7017145,21.098629,17.527885,278.6785,271.27734,85.69178,54.767544,22.721714,0.23248,3.186057
2020-12-17,-209,pre_fire,0.017142856,12.340571,22.47874,18.426857,276.61005,267.06253,99.266975,65.88594,5.2154284,0.08427429,4.2109714
2020-12-18,-208,pre_fire,20.10743,23.257143,20.296228,18.351656,279.1311,266.65726,83.926056,36.065254,0.33040002,0.3280457,2.9632
2020-12-19,-207,pre_fire,23.994286,27.624,17.916916,18.226171,280.98514,268.99463,73.18251,32.016914,0.0,0.42473143,2.7850285
2020-12-20,-206,pre_fire,25.309713,30.8,16.356686,17.831314,285.2447,271.3608,74.710976,29.169828,0.0,0.5691429,2.616457
2020-12-21,-205,pre_fire,20.369143,29.482286,15.262286,17.8232,284.71542,269.1063,74.41885,25.25097,0.5246857,0.56053716,2.9629714
2020-12-22,-204,pre_fire,28.310858,28.28457,16.404686,17.971659,277.8112,265.3184,93.75532,45.196804,0.15759999,0.22589715,4.362171
2020-12-23,-203,pre_fire,37.98857,32.858284,15.091314,17.417715,277.66205,265.53464,71.091774,29.851887,0.0,0.35872,5.550857
2020-12-24,-202,pre_fire,30.476572,35.132572,13.957486,17.082401,279.57098,267.06503,67.81269,27.935884,0.0,0.4228457,3.299543
